race_year,rain,driverId,qualification_position,constructor,circuit,type_circuit,driver,race_month,race_day,age_at_gp_in_days,days_since_first_race,circuit_nationality,driver_nationality,constructor_nationality,driver_home,constructor_home,laps,deviation_from_median
1994,0,30,1,Benetton,Circuito de Jerez,Race circuit,michael_schumacher,10,16,9417,1148,ESP,DEU,ITA,0,0,69,-47168.0
1994,0,56,10,Jordan,Circuito de Jerez,Race circuit,irvine,10,16,10567,357,ESP,GBR,IRL,0,0,69,31278.0
1994,0,57,9,McLaren,Circuito de Jerez,Race circuit,hakkinen,10,16,9514,1316,ESP,FIN,GBR,0,0,69,22480.0
1994,0,71,2,Williams,Circuito de Jerez,Race circuit,damon_hill,10,16,12447,896,ESP,GBR,GBR,0,0,69,-22480.0
1994,1,30,1,Benetton,Suzuka Circuit,Race circuit,michael_schumacher,11,6,9438,1169,JPN,DEU,ITA,0,0,50,-52709.0
1994,1,49,3,Sauber,Suzuka Circuit,Race circuit,frentzen,11,6,10034,224,JPN,DEU,CHE,0,0,50,63789.0
1994,1,55,7,Ferrari,Suzuka Circuit,Race circuit,alesi,11,6,11105,1946,JPN,FRA,ITA,0,0,50,-4029.0
1994,1,56,6,Jordan,Suzuka Circuit,Race circuit,irvine,11,6,10588,378,JPN,GBR,IRL,0,0,50,46033.0
1994,1,57,8,McLaren,Suzuka Circuit,Race circuit,hakkinen,11,6,9535,1337,JPN,FIN,GBR,0,0,50,66911.0
1994,1,71,2,Williams,Suzuka Circuit,Race circuit,damon_hill,11,6,12468,917,JPN,GBR,GBR,0,0,50,-56074.0
1994,1,95,4,Williams,Suzuka Circuit,Race circuit,mansell,11,6,15065,5194,JPN,GBR,GBR,0,0,50,0.0
1994,0,22,5,Jordan,Adelaide Street Circuit,Street circuit,barrichello,11,13,8209,609,AUS,BRA,IRL,0,0,81,43031.0
1994,0,77,11,Ferrari,Adelaide Street Circuit,Street circuit,berger,11,13,12862,3738,AUS,AUT,ITA,0,0,81,-24988.0
1994,0,84,9,McLaren,Adelaide Street Circuit,Street circuit,brundle,11,13,12949,3885,AUS,GBR,GBR,0,0,81,24988.0
1994,0,95,1,Williams,Adelaide Street Circuit,Street circuit,mansell,11,13,15072,5201,AUS,GBR,GBR,0,0,81,-27499.0
1995,0,14,3,Williams,Autódromo José Carlos Pace,Race circuit,coulthard,3,26,8765,301,BRA,GBR,GBR,0,0,71,5530.0
1995,0,30,2,Benetton,Autódromo José Carlos Pace,Race circuit,michael_schumacher,3,26,9578,1309,BRA,DEU,ITA,0,0,71,-5530.0
1995,0,30,3,Benetton,Autódromo Juan y Oscar Gálvez,Race circuit,michael_schumacher,4,9,9592,1323,ARG,DEU,ITA,0,0,72,26969.0
1995,0,55,6,Ferrari,Autódromo Juan y Oscar Gálvez,Race circuit,alesi,4,9,11259,2100,ARG,FRA,ITA,0,0,72,0.0
1995,0,71,2,Williams,Autódromo Juan y Oscar Gálvez,Race circuit,damon_hill,4,9,12622,1071,ARG,GBR,GBR,0,0,72,-6407.0
1995,0,14,3,Williams,Autodromo Enzo e Dino Ferrari,Race circuit,coulthard,4,30,8800,336,ITA,GBR,GBR,0,0,63,21077.0
1995,0,55,5,Ferrari,Autodromo Enzo e Dino Ferrari,Race circuit,alesi,4,30,11280,2121,ITA,FRA,ITA,0,1,63,-12303.0
1995,0,71,4,Williams,Autodromo Enzo e Dino Ferrari,Race circuit,damon_hill,4,30,12643,1092,ITA,GBR,GBR,0,0,63,-30813.0
1995,0,77,2,Ferrari,Autodromo Enzo e Dino Ferrari,Race circuit,berger,4,30,13030,3906,ITA,AUT,ITA,0,1,63,12303.0
1995,0,30,1,Benetton,Circuit de Barcelona-Catalunya,Race circuit,michael_schumacher,5,14,9627,1358,ESP,DEU,ITA,0,0,65,-58612.0
1995,0,65,7,Benetton,Circuit de Barcelona-Catalunya,Race circuit,herbert,5,14,11280,2240,ESP,GBR,ITA,0,0,65,-6624.0
1995,0,71,5,Williams,Circuit de Barcelona-Catalunya,Race circuit,damon_hill,5,14,12657,1106,ESP,GBR,GBR,0,0,65,63136.0
1995,0,77,3,Ferrari,Circuit de Barcelona-Catalunya,Race circuit,berger,5,14,13044,3920,ESP,AUT,ITA,0,0,65,6624.0
1995,0,30,2,Benetton,Circuit de Monaco,Street circuit,michael_schumacher,5,28,9641,1372,MCO,DEU,ITA,0,0,78,-34817.0
1995,0,71,1,Williams,Circuit de Monaco,Street circuit,damon_hill,5,28,12671,1120,MCO,GBR,GBR,0,0,78,0.0
1995,0,77,4,Ferrari,Circuit de Monaco,Street circuit,berger,5,28,13058,3934,MCO,AUT,ITA,0,0,78,36630.0
1995,0,22,9,Jordan,Circuit Gilles Villeneuve,Street circuit,barrichello,6,11,8419,819,CAN,BRA,IRL,0,0,68,-1583.0
1995,0,30,1,Benetton,Circuit Gilles Villeneuve,Street circuit,michael_schumacher,6,11,9655,1386,CAN,DEU,ITA,0,0,68,3790.0
1995,0,44,11,Ligier,Circuit Gilles Villeneuve,Street circuit,panis,6,11,10509,441,CAN,FRA,FRA,0,0,68,3236.0
1995,0,55,5,Ferrari,Circuit Gilles Villeneuve,Street circuit,alesi,6,11,11322,2163,CAN,FRA,ITA,0,0,68,-33270.0
1995,0,56,8,Jordan,Circuit Gilles Villeneuve,Street circuit,irvine,6,11,10805,595,CAN,GBR,IRL,0,0,68,0.0
1995,0,14,3,Williams,Circuit de Nevers Magny-Cours,Race circuit,coulthard,7,2,8863,399,FRA,GBR,GBR,0,0,72,0.0
1995,0,30,2,Benetton,Circuit de Nevers Magny-Cours,Race circuit,michael_schumacher,7,2,9676,1407,FRA,DEU,ITA,0,0,72,-62826.0
1995,0,55,4,Ferrari,Circuit de Nevers Magny-Cours,Race circuit,alesi,7,2,11343,2184,FRA,FRA,ITA,1,0,72,15043.0
1995,0,71,1,Williams,Circuit de Nevers Magny-Cours,Race circuit,damon_hill,7,2,12706,1155,FRA,GBR,GBR,0,0,72,-31517.0
1995,0,84,9,Ligier,Circuit de Nevers Magny-Cours,Race circuit,brundle,7,2,13180,4116,FRA,GBR,FRA,0,1,72,467.0
1995,0,14,3,Williams,Silverstone Circuit,Race circuit,coulthard,7,16,8877,413,GBR,GBR,GBR,1,1,61,0.0
1995,0,44,13,Ligier,Silverstone Circuit,Race circuit,panis,7,16,10544,476,GBR,FRA,FRA,0,0,61,69280.0
1995,0,55,6,Ferrari,Silverstone Circuit,Race circuit,alesi,7,16,11357,2198,GBR,FRA,ITA,0,0,61,-7409.0
1995,0,65,5,Benetton,Silverstone Circuit,Race circuit,herbert,7,16,11343,2303,GBR,GBR,ITA,1,0,61,-23888.0
