date,weather
2022-04-10,Sunny
2022-04-24,Changeable
2022-05-08,Cloudy
2022-05-22,Sunny
2022-05-29,Very changeable
2022-06-12,Sunny
2022-06-19,Sunny
2022-07-03,Overcast
2022-07-10,Cloudy
2022-07-24,Sunny
2022-07-31,Overcast
2022-08-28,Sunny
2022-09-04,Cloudy
2022-09-11,Sunny
2022-10-02,Rain
2022-10-09,Rain
2022-10-23,Cloudy
2022-10-30,Cloudy
2022-11-13,Overcast
2022-11-20,Night
2023-03-05,Night
2023-03-19,Night
2023-04-02,Sunny
2023-04-30,Cloudy
2023-05-07,Cloudy
2023-05-28,Very changeable
2023-06-04,Overcast
2023-06-18,Cloudy
2023-07-02,Overcast
2023-07-09,Overcast
2023-07-23,Sunny
2023-07-30,Cloudy
2023-08-27,Very changeable
2023-09-03,Sunny
2023-09-17,Night
2023-09-24,Sunny
2023-10-08,Night
2023-10-22,Sunny
2023-10-29,Sunny
2023-11-05,Sunny
2023-11-19,Night
2023-11-26,Night
2024-03-02,Night
2024-03-09,Night
2024-03-24,Sunny
2024-04-07,Sunny
2024-04-21,Overcast
2024-05-05,Sunny
2024-05-19,Cloudy
2024-05-26,Sunny
2024-06-09,Very changeable
2024-06-23,Cloudy
2024-06-30,Cloudy
2024-07-07,Very changeable
2024-07-21,Cloudy
2024-07-28,Cloudy
2024-08-25,Very changeable
2024-09-01,Overcast
2024-09-15,Sunny
2024-09-22,Night
2024-10-20,Sunny
2024-10-27,Cloudy
2024-11-03,Rain
2024-11-23,Night
2024-12-01,Night
2024-12-08,Night
